isGood,BuyId,Score,Score2,Spread
FALSE,J748463,5.5124,5.3875,0.0227
FALSE,1792108,2.9158,2.5035,0.1414
FALSE,1022218,3.6955,3.5119,0.0497
FALSE,G291535,2.6336,2.6317,0.0007
TRUE,G964641,7.6211,3.2548,0.5729
TRUE,G519878,6.2618,5.8049,0.0730
FALSE,1723644,3.2020,2.9170,0.0890
FALSE,J582051,3.8311,3.6898,0.0369
FALSE,F031262,2.0399,1.9440,0.0471
TRUE,1677618,7.1695,2.3487,0.6724
FALSE,E313672,3.5618,3.4842,0.0218
TRUE,E142255,3.6477,2.3387,0.3588
TRUE,1257441,8.8747,4.2542,0.5206
TRUE,G718164,9.5834,5.6982,0.4054
TRUE,J612620,14.0039,4.0400,0.7115
TRUE,1855622,16.4224,4.2626,0.7404
FALSE,J940308,2.1566,2.1490,0.0035
FALSE,B092472,2.6514,2.5897,0.0233
FALSE,J576177,3.2921,3.1520,0.0426
FALSE,1667925,2.7078,2.7018,0.0022
TRUE,F797168,11.2216,4.4517,0.6033
TRUE,1394116,13.3010,3.0479,0.7709
TRUE,G167014,8.2017,2.6564,0.6761
TRUE,H139696,6.4153,3.5978,0.4392
FALSE,F773815,3.5529,3.4946,0.0164
TRUE,F756167,8.9153,3.6557,0.5900
TRUE,J143487,7.7996,4.2909,0.4499
TRUE,1667839,15.4213,3.7746,0.7552
TRUE,J734273,10.1256,7.0509,0.3037
TRUE,K154542,9.5680,3.6759,0.6158
TRUE,B136736,12.2681,3.4267,0.7207
TRUE,E400342,6.8109,3.3774,0.5041
FALSE,B059407,3.6049,2.9218,0.1895
TRUE,J464342,6.9351,2.4860,0.6415
FALSE,K082633,2.0941,1.9929,0.0483
TRUE,1502233,10.5608,4.6106,0.5634
TRUE,1569810,10.0586,3.8906,0.6132
TRUE,F521044,5.2456,3.4311,0.3459
TRUE,B125697,5.9873,4.9026,0.1812
FALSE,A069446,3.1836,3.0964,0.0274
FALSE,J596890,2.9892,2.9873,0.0006
TRUE,K376042,8.9509,4.1613,0.5351
FALSE,1265187,1.9785,1.8715,0.0540
TRUE,J192586,14.7253,11.5661,0.2145
FALSE,E885511,4.0493,3.6330,0.1028
TRUE,J093618,7.1804,2.6633,0.6291
TRUE,C069106,8.7725,2.5044,0.7145
TRUE,E036551,11.4938,5.0632,0.5595
FALSE,E730750,2.7800,2.5368,0.0875
FALSE,1747913,2.6489,2.6474,0.0006
FALSE,K390349,3.3135,3.3094,0.0012
TRUE,F567048,9.3734,2.6260,0.7198
FALSE,C085742,3.9014,3.8704,0.0079
FALSE,E901414,4.2167,3.1517,0.2526
FALSE,G092738,3.1238,3.0473,0.0245
TRUE,A039398,16.2643,13.2142,0.1875
TRUE,B082192,5.0442,2.9116,0.4228
FALSE,G998204,4.6528,4.5991,0.0115
TRUE,1511563,14.1315,2.7158,0.8078
FALSE,B048730,3.2911,2.9430,0.1058
TRUE,K322675,6.6774,3.6504,0.4533
TRUE,B019704,9.5711,3.4776,0.6367
TRUE,1655472,9.6825,3.4673,0.6419
FALSE,E451462,4.5318,4.5231,0.0019
FALSE,E024238,3.3584,3.3413,0.0051
FALSE,K192181,3.0885,2.9549,0.0432
TRUE,1368477,8.5772,3.9062,0.5446
FALSE,F133654,3.2675,3.2156,0.0159
FALSE,G852234,3.6961,3.1981,0.1347
FALSE,E688387,2.7571,2.5298,0.0824
TRUE,2013368,4.5812,1.9971,0.5641
FALSE,F643099,4.0458,3.5810,0.1149
FALSE,J825178,2.5968,2.5904,0.0025
TRUE,H446323,14.5739,4.7050,0.6772
FALSE,E659348,2.9116,2.8171,0.0324
TRUE,K198506,10.7891,3.4908,0.6765
FALSE,E528726,2.8517,2.4956,0.1249
TRUE,G762777,3.8069,2.4215,0.3639
FALSE,E350753,4.2026,3.4520,0.1786
FALSE,G781761,2.9134,2.7029,0.0722
TRUE,1851063,11.3208,3.9837,0.6481
FALSE,E877943,1.7684,1.6796,0.0502
FALSE,B082125,3.9799,3.1744,0.2024
FALSE,G967958,2.8201,2.7033,0.0414
FALSE,1638136,3.3144,3.2868,0.0083
TRUE,F287624,7.2340,3.3802,0.5327
TRUE,G326421,5.3689,2.0936,0.6100
TRUE,A073130,9.1178,5.7273,0.3719
TRUE,1056862,14.7036,4.5871,0.6880
TRUE,2081152,15.1949,5.2288,0.6559
TRUE,1246983,7.1723,3.1410,0.5621
TRUE,E791761,15.3173,4.0278,0.7370
TRUE,E304223,6.0501,2.5640,0.5762
FALSE,J918741,2.3280,2.3249,0.0014
FALSE,1057278,4.3573,3.6981,0.1513
FALSE,E624846,2.4901,2.3979,0.0370
FALSE,F333156,3.4629,3.2388,0.0647
TRUE,K113729,13.8836,3.1848,0.7706
FALSE,1434527,3.9791,3.7815,0.0497
FALSE,1641257,2.7355,2.7339,0.0006
TRUE,2005904,15.9678,4.9865,0.6877
TRUE,1277403,8.9424,3.1777,0.6446
FALSE,K212888,3.2941,3.2551,0.0118
TRUE,E477831,10.6651,3.5689,0.6654
TRUE,E581613,6.4090,2.3719,0.6299
FALSE,A006113,3.4533,3.4496,0.0011
TRUE,G237415,14.8980,4.4170,0.7035
TRUE,1061749,7.1908,6.1593,0.1434
FALSE,F299216,3.2986,2.9835,0.0955
FALSE,F901034,2.9758,2.8315,0.0485
FALSE,E224294,3.0153,2.3388,0.2244
FALSE,E743828,3.5002,3.4646,0.0102
